Dr. Josh Gallagher	13 January 2014	Crushed by rubble	Having exploded the Warner bach deck under the influence of his hero syndrome, Josh was crushed by rubble trying to save the life of Roimata Ngatai
Nurse Roimata Ngatai	13 January 2014	Bleeding as result of explosion and crushing	Died on operating table after being caught in an explosion at the Warner bach.
Nurse Meg Harris	13 August 2007	Strangled	Naked body found in a rubbish skip outside The I.V.. Murdered by Joey Henderson, aka The Ferndale Strangler, on the night of Mark Weston's birthday party.
Nurse Alison Raynor	12 November 2009	Drowned	Chris Warner was informed in August 2010 that his ex-wife Allie had drowned in a yachting accident and that she had had his child in 1996.
Lionel Skeggins	12 March 1999	Drowning	Went missing, presumed drowned, on his wedding day.
Nurse Toni Warner	12 June 2008	Cardiac arrest caused by renal failure	Died of cardiac arrest caused by renal failure due a faulty drug distributed by the dodgy pharmaceutical company Scott Spear.
Heather Sloane	12 February 2010	Cancer operation	Ben Goodall's ex lover. Died on the operating table due to cancer.
Huia Samuels	11 October 2006	Car Bombing	Murdered by the thugs hired by the dodgy pharmaceutical company Scott Spear. The bomb was meant for Anthony Richards.
Tom Neilson	11 November 1993	Heart attack	Tom had mysteriously disappeared that year but returned wanting a kidney transplant. Unfortunately, after the transplant Tom died of a heart attack
Travis Corfield	11 December 2013	Hit and run	Vasa's abusive ex fiance; mysteriously found dead in her apartments carpark. It later turned out he had been murdered by Bree Hamilton.
Betty Crawford	11 December 2008	Lethal injection of potassium	Pensioner "granny-dumped" at the hospital by family. Murdered by Dr. Ethan Pierce for body parts to supply his body harvesting operation.
Don Lennox	10 December 2009	Died of injuries as result of gunshot to chest.	Brought into hospital under false identity and operated on by Chris Warner who identified him as the killer of Craig Valentine.
Warren Briggs	1 July 2010	Drug overdose	Murdered by Penny Rourke for revenge as she blamed him for the death of her father that gave her psychopathic tendencies.
Dominic Thompson	1 December 2004	Explosion	Failed attempted murder-suicide with arch-enemy, Chris Warner.
Tiffany Marinovich	1 August 1998	Fall	Fell from a high-rise building after trying to talk down a suicide jumper. She was successful but slipped as she tried to get away from the ledge. She was pregnant at the time and later died in hospital. Her baby miraculously survived and was born via C section before Tiffany's life support was switched off.
